missionId,enrichmentId,promptVersion,verdict,nb_ok,nb_questionable,nb_wrong,nb_missing,wrong_values,missing_values,failure_patterns,summary,durationMs,totalTokens
f490c096-6419-4514-b05d-abaa0b24e07a,ea2e3cef-7fc7-4f35-bebd-f23e4acbc7ed,v2,flagged_major,0,3,1,1,type_mission.temps_plein,type_mission.reguliere,type_mission mal évalué|engagement_intent multiple sans hiérarchie claire|formation_onisep secondaire peu justifiée,"La classification du domaine, secteur d'activité, et engagement principal (transmission, aide directe) est correcte et bien justifiée. En revanche, la classification du type de mission en 'temps plein' est incorrecte car la durée horaire totale est faible et répartie sur plusieurs mois, ce qui correspond à une mission régulière. La présence de plusieurs intentions d'engagement est plausible mais l'animation est secondaire par rapport à la transmission et l'aide directe. La compétence ROME 'management_social_soin' est acceptable mais à nuancer. La classification ONISEP 'societe_droit_politique' est discutable car la mission est surtout éducative avec une dimension citoyenne secondaire. Il conviendrait de corriger le type de mission et de préciser la hiérarchie des intentions d'engagement.",8089,6409
abe2ec73-2f53-454e-86ba-d14166670fab,0d736d6a-9fce-47f1-8ae4-83c1a759aa08,v2,approved,10,0,0,0,,,,"Les classifications sont globalement correctes et bien justifiées par le texte de la mission. Le domaine, secteur, type de mission, compétences, intentions d'engagement et formations ONISEP correspondent précisément aux activités décrites, notamment l'accompagnement éducatif, la transmission, le suivi des élèves et la collaboration avec les enseignants dans un cadre structuré de service civique.",6077,6075
76ab1d0c-3564-45ee-9b52-d4e79d223964,20114df0-42b0-487e-923f-60884854f2c3,v2,approved,12,0,0,0,,,,"Les classifications sont globalement très cohérentes et bien justifiées par le texte de la mission. Le domaine, secteur, type de mission, compétences, intentions d'engagement et formations ONISEP correspondent précisément aux activités et contexte décrits. Aucun élément erroné ou manquant manifeste n'a été détecté.",7298,6638
6843b8f5-8f15-44c7-9eaf-2a6425edcabd,f3a8857c-2881-45f2-aba4-39634b63d2a1,v2,approved,13,0,1,0,competence_rome.communication_creation_numerique,,competence_rome communication_creation_numerique non justifié,"Les classifications sont globalement correctes et bien justifiées par le texte de la mission. Seule la compétence ROME 'communication_creation_numerique' est incorrectement attribuée, car il n'y a pas d'indication explicite d'activités numériques ou de création de contenus digitaux. Toutes les autres valeurs correspondent précisément aux tâches et au contexte décrits.",9630,6855
c8e4205a-9277-4a5f-a330-24b8ef1d221a,ab2908d3-630f-4e2c-94f7-5bfc0f43dcaa,v2,approved,11,0,0,0,,,,"Les classifications sont toutes cohérentes avec le texte de la mission. Le domaine principal est clairement l'éducation et la transmission, avec un secteur d'activité en adéquation. Le type de mission régulière est justifié par la durée et les dates. Les compétences ROME reflètent bien l'accompagnement social et la coopération. Les intentions d'engagement couvrent la transmission, l'aide directe, l'animation et le cadre structuré du service civique. Les formations ONISEP sont pertinentes, incluant l'éducation et la dimension citoyenne. Aucune erreur ni omission majeure détectée.",8663,6440
17bb8f6e-9d93-4a70-be4a-e8bbb61bc3a3,f65d4989-033d-4e85-91c2-71c047a50c5b,v2,approved,10,0,0,0,,,,"Les classifications sont globalement très cohérentes avec la description de la mission. Le domaine principal est bien 'education_transmission' car la mission consiste à accompagner et encadrer les élèves, avec des activités de soutien, animation et organisation. L'intention d'engagement est correctement multiple : transmission, animation, aide directe et cadre engagé. Le secteur d'activité, les compétences ROME, le type de mission et la formation ONISEP sont également bien choisis. Aucune erreur ou omission majeure n'a été détectée.",6267,6536
4cfc8738-e9ba-4ae8-a0ad-14b9fa93dc51,9bffac9e-fcec-43ca-a284-617878d58c98,v2,approved,10,1,0,0,,,formation_onisep choix discutable,"Les classifications sont globalement très pertinentes et bien justifiées par le texte de la mission. Le domaine, secteur, type de mission, compétences ROME et intentions d'engagement correspondent clairement à une mission d'éducation et de transmission linguistique avec un cadre structuré. Seule la classification 'formation_onisep : societe_droit_politique' est discutable car la mission est avant tout pédagogique et culturelle, la dimension société/droit/politique n'est pas centrale.",8315,6316
e7f4bda3-d749-4ac1-b938-c8b2788b1dc6,13e1798f-53d9-4c9e-8b22-781baaedc032,v2,approved,10,0,0,0,,,,"Les classifications sont globalement correctes et bien justifiées par le texte de la mission. Le domaine, secteur, type de mission, compétences, intentions d'engagement et formations ONISEP correspondent précisément aux activités décrites, sans erreurs ni omissions notables.",13827,6293
0480ef0d-6c7a-49a5-b7cc-abf900acb322,2141ab7f-7f45-4196-9e98-c60af109963a,v2,approved,10,0,0,0,,,,"Les classifications sont toutes cohérentes avec la description de la mission, qui porte sur la transmission et l'animation pédagogique en espagnol dans un cadre scolaire structuré. Le domaine, secteur, type de mission, compétences, intentions d'engagement et formation ONISEP sont correctement attribués.",5892,6090
7197ef9d-dfd2-4ffa-82bc-fd733adc5de0,6f225c1d-5b9d-437f-9407-eeb009471ae4,v2,approved,11,0,0,0,,,,"Les classifications sont globalement correctes et bien justifiées par le texte de la mission. Le domaine social_solidarite est approprié compte tenu de l'accompagnement et de l'animation auprès des personnes âgées. Le secteur d'activité santé_social_aide_personne correspond à l'environnement EHPAD. Le type de mission régulière est cohérent avec la durée et le volume horaire. Les compétences ROME reflètent l'accompagnement humain et les soft skills mobilisés. Les intentions d'engagement couvrent l'aide directe, l'animation, la transmission, le support organisationnel et le cadre structuré du service civique. La formation ONISEP social_sante_sport est adaptée au contexte. Aucune erreur majeure n'a été détectée.",12518,6253
